TacXPD-K169E,,
Time (min),Intensity (a.u.),
0.004166667,82.75495148,1
0.0125,83.35438538,1.007243481
0.020833334,86.06401062,1.039986237
0.029166667,81.2993927,0.982411218
0.037500001,84.56972504,1.021929486
0.045833334,84.47422028,1.020775419
0.054166667,78.29568481,0.946114805
0.0625,81.58616638,0.985876554
0.070833333,82.98656464,1.002798783
0.079166666,80.76300049,0.975929525
0.087499999,80.90865326,0.977689574
0.095833331,78.30944061,0.946281029
0.104166664,76.5274353,0.92474751
0.112499997,81.34358978,0.98294529
0.12083333,79.28562164,0.958077072
0.129166663,84.63946533,1.022772219
0.137500003,77.0090332,0.930567076
0.145833328,78.91947937,0.953652657
0.154166669,77.37291718,0.934964202
0.162499994,78.03586578,0.942975186
0.170833334,75.62851715,0.9138851
0.17916666,79.36249542,0.959006005
0.1875,80.84351349,0.976902434
0.19583334,79.85097504,0.964908729
0.204166666,79.91526794,0.965685636
0.212500006,78.56659698,0.949388473
0.220833331,79.54329681,0.961190785
0.229166672,82.01348877,0.991040262
0.237499997,85.50711823,1.033256823
0.245833337,79.27210236,0.957913707
0.254166663,81.51942444,0.985070053
0.262499988,79.96861267,0.966330247
0.270833343,78.63804626,0.950251856
0.279166669,83.10579681,1.004239569
0.287499994,82.04979706,0.991479006
0.295833319,82.24774933,0.993871036
0.304166675,77.92948151,0.941689653
0.3125,82.83287811,1.000941655
0.320833325,78.72439575,0.951295292
0.329166681,77.92327118,0.941614608
0.337500006,78.92517853,0.953721525
0.345833331,78.67809296,0.950735775
0.354166657,83.90982056,1.013955287
0.362500012,80.49037933,0.972635207
0.370833337,76.94051361,0.929739094
0.379166663,82.83930206,1.001019281
0.387499988,82.50349426,0.996961424
0.395833343,77.81813812,0.940344194
0.404166669,81.00574493,0.978862817
0.412499994,76.15103149,0.920199095
0.420833319,81.54340363,0.985359814
0.429166675,80.46416473,0.972318433
0.4375,74.87543488,0.904784953
0.445833325,79.33958435,0.958729151
0.454166681,77.89984894,0.941331577
0.462500006,79.82756042,0.96462579
0.470833331,81.33577728,0.982850885
0.479166657,82.57220459,0.997791711
0.487500012,85.5836792,1.034181975
0.495833337,79.80549622,0.964359169
0.504166663,76.10535431,0.919647138
0.512499988,76.95457458,0.929909005
0.520833314,78.28269958,0.945957894
0.529166639,79.90822601,0.965600542
0.537500024,80.9519577,0.978212859
0.545833349,82.78938293,1.000416065
0.554166675,76.66118622,0.926363738
0.5625,77.81893158,0.940353782
0.570833325,76.6411438,0.926121548
0.579166651,77.29096985,0.933973961
0.587499976,82.48799133,0.996774088
0.595833361,79.31441498,0.958425007
0.604166687,83.45135498,1.008415249
0.612500012,81.47088623,0.984483524
0.620833337,79.52174377,0.960930341
0.629166663,82.05151367,0.99149975
0.637499988,81.26651764,0.98201396
0.645833314,82.90283203,1.001786969
0.654166639,77.90401459,0.941381914
0.662500024,83.1204834,1.00441704
0.670833349,81.15465546,0.980662232
0.679166675,83.63948059,1.010688534
0.6875,77.38353729,0.935092534
0.695833325,79.89746857,0.965470551
0.704166651,82.74331665,0.999859406
0.712499976,81.45719147,0.984318038
0.720833361,81.73580933,0.98768482
0.729166687,78.08124542,0.943523548
0.737500012,75.44792938,0.911702902
0.745833337,80.63928223,0.97443453
0.754166663,77.72497559,0.93921843
0.762499988,83.2982254,1.006564851
0.770833314,81.79264832,0.988371655
0.779166639,82.84213257,1.001053485
0.787500024,85.85361481,1.037443842
0.795833349,84.07095337,1.015902395
0.804166675,83.05107117,1.003578272
0.8125,79.04090118,0.955119902
0.820833325,82.75547028,1.000006269
0.829166651,80.42835999,0.971885773
0.837499976,84.94882202,1.026510444
0.845833361,79.43388367,0.959868651
0.854166687,83.88487244,1.013653817
0.862500012,86.11668396,1.040622735
0.870833337,83.22776031,1.00571336
0.879166663,83.42964172,1.008152869
0.887499988,80.33124542,0.970712253
0.895833314,80.34648895,0.970896454
0.904166639,79.63516998,0.962300969
0.912500024,83.84673309,1.013192946
0.920833349,81.11699677,0.98020717
0.929166675,79.71032715,0.963209158
0.9375,78.55992889,0.949307896
0.945833325,78.40039825,0.947380149
0.954166651,80.42095947,0.971796346
0.962499976,80.96407318,0.978359261
0.970833361,81.19872284,0.981194737
0.979166687,83.36049652,1.007317327
0.987500012,82.93687439,1.002198333
0.995833337,87.82643127,1.061283098
1.004166722,83.70980835,1.011538365
1.012500048,80.82106018,0.976631111
1.020833373,85.14420319,1.028871405
1.029166698,79.24852753,0.957628832
1.037500024,85.13244629,1.028729336
1.045833349,82.65171814,0.998752542
1.054166675,84.772995,1.024385774
1.0625,78.59277344,0.949704785
1.070833325,81.36366272,0.983187849
1.079166651,90.20368195,1.090009484
1.087499976,83.88035583,1.013599239
1.095833302,79.21533966,0.957227794
1.104166627,84.94882965,1.026510537
1.112499952,80.19392395,0.969052879
1.120833278,77.84645844,0.940686413
1.129166722,81.77412415,0.988147811
1.137500048,79.9551239,0.96616725
1.145833373,80.70535278,0.975232918
1.154166698,83.15875244,1.004879478
1.162500024,85.74788666,1.036166237
1.170833349,81.67378998,0.986935386
1.179166675,82.84056854,1.001034585
1.1875,85.53995514,1.03365362
