Time (min),Intensity (a.u.),

0.004166667,90.50937653,1

0.0125,83.57844543,0.92342306

0.020833334,86.96195221,0.960806002

0.029166667,87.38884735,0.965522587

0.037500001,83.01770782,0.917227706

0.045833334,85.8480072,0.948498493

0.054166667,88.22686005,0.974781436

0.0625,84.24295044,0.930764896

0.070833333,82.38857269,0.910276657

0.079166666,90.16954041,0.996245294

0.087499999,84.09379578,0.929116949

0.095833331,84.15891266,0.929836398

0.104166664,84.27563477,0.931126011

0.112499997,87.5428772,0.967224398

0.12083333,87.91443634,0.971329598

0.129166663,87.71162415,0.969088812

0.137500003,85.22843933,0.941653148

0.145833328,79.84653473,0.88219075

0.154166669,87.77338409,0.969771171

0.162499994,82.44692993,0.910921422

0.170833334,88.33353424,0.975960034

0.17916666,85.59584045,0.945712408

0.1875,84.91228485,0.93816009

0.19583334,80.66648865,0.891250075

0.204166666,79.7033844,0.880609142

0.212500006,83.34628296,0.920857995

0.220833331,82.64096069,0.913065186

0.229166672,82.9988327,0.917019163

0.237499997,81.00061035,0.894941645

0.245833337,82.35281372,0.909881571

0.254166663,75.79544067,0.837431917

0.262499988,82.29873657,0.909284095

0.270833343,83.08778381,0.918001946

0.279166669,78.39267731,0.866127691

0.287499994,81.62384796,0.901827535

0.295833319,80.88815308,0.893699152

0.304166675,78.77277374,0.870327216

0.3125,83.57738495,0.923411343

0.320833325,79.76039886,0.881239071

0.329166681,78.69155884,0.869429907

0.337500006,77.78005981,0.859359138

0.345833331,81.65289307,0.902148443

0.354166657,77.98429871,0.861615688

0.362500012,78.60082245,0.868427399

0.370833337,77.47050476,0.855938995

0.379166663,82.60586548,0.912677434

0.387499988,83.0716095,0.917823243

0.395833343,81.6401825,0.902008009

0.404166669,78.95770264,0.872370418

0.412499994,77.33998871,0.854496978

0.420833319,83.85624695,0.926492372

0.429166675,75.80731201,0.837563078

0.4375,78.49934387,0.867306205

0.445833325,77.8494339,0.860125623

0.454166681,77.96585846,0.861411949

0.462500006,76.37641907,0.843850903

0.470833331,80.50812531,0.889500385

0.479166657,81.40216064,0.899378205

0.487500012,79.59410858,0.879401799

0.495833337,75.19345093,0.830780786

0.504166663,78.14019012,0.863338066

0.512499988,80.26073456,0.886767069

0.520833314,82.46755981,0.911149352

0.529166639,76.88763428,0.849499104

0.537500024,79.49578857,0.878315503

0.545833349,82.2771225,0.909045291

0.554166675,82.08694458,0.906944095

0.5625,84.18384552,0.930111871

0.570833325,83.01983643,0.917251224

0.579166651,77.09971619,0.851842308

0.587499976,79.73300171,0.880936371

0.595833361,82.78756714,0.914684979

0.604166687,79.21019745,0.875160127

0.612500012,77.35665131,0.854681076

0.620833337,77.677742,0.858228672

0.629166663,79.67002106,0.880240524

0.637499988,81.78359222,0.903592482

0.645833314,82.10269928,0.907118162

0.654166639,81.61530304,0.901733126

0.662500024,81.4751358,0.900184477

0.670833349,78.91571045,0.871906464

0.679166675,83.5473175,0.923079141

0.6875,84.41210175,0.932633778

0.695833325,83.87934113,0.92674753

0.704166651,78.08540344,0.862732751

0.712499976,83.92975616,0.927304544

0.720833361,81.41372681,0.899505995

0.729166687,79.9655838,0.883506073

0.737500012,81.78643036,0.90362384

0.745833337,85.84472656,0.948462246

0.754166663,79.65387726,0.880062158

0.762499988,80.86341095,0.893425787

0.770833314,79.58097076,0.879256645

0.779166639,88.1234436,0.973638831

0.787500024,80.25969696,0.886755605

0.795833349,85.12973022,0.940562553

0.804166675,81.17192078,0.896834382

0.8125,82.00069427,0.905991152

0.820833325,80.76068878,0.892290853

0.829166651,78.44337463,0.866687824

0.837499976,83.66583252,0.924388563

0.845833361,85.48139954,0.944447999

0.854166687,88.69894409,0.979997294

0.862500012,82.39924622,0.910394584

0.870833337,82.55144501,0.912076165

0.879166663,83.67427063,0.924481792

0.887499988,81.39450836,0.899293659

0.895833314,81.17007446,0.896813983

0.904166639,86.94935608,0.960666833

0.912500024,79.90001678,0.88278165

0.920833349,79.22338104,0.875305787

0.929166675,82.92051697,0.916153885

0.9375,83.57383728,0.923372146

0.945833325,81.1186676,0.89624601

0.954166651,85.40424347,0.943595534

0.962499976,85.94395447,0.949558574

0.970833361,84.36431122,0.93210576

0.979166687,83.34055328,0.92079469

0.987500012,83.30904388,0.920446556

0.995833337,87.39360809,0.965575186

1.004166722,82.66802979,0.913364261

1.012500048,83.31329346,0.920493507

1.020833373,86.52077484,0.955931619

1.029166698,84.89037323,0.937917998

1.037500024,82.22901154,0.908513733

1.045833349,86.9187088,0.960328224

1.054166675,83.33248901,0.920705591

1.0625,84.7703476,0.936591885

1.070833325,85.13678741,0.940640524

1.079166651,81.40867615,0.899450193

1.087499976,85.53831482,0.945076832

1.095833302,86.27106476,0.953172677

1.104166627,83.48134613,0.922350251

1.112499952,84.6782608,0.935574457

1.120833278,86.75260162,0.958492975

1.129166722,79.52252197,0.878610869

1.137500048,92.61956024,1.023314531

1.145833373,86.36247253,0.954182603

1.154166698,86.67920685,0.957682068

1.162500024,86.55730438,0.956335218

1.170833349,87.29489136,0.964484507

1.179166675,82.17428589,0.907909092

1.1875,85.38816071,0.943417842

1.195833325,87.33669281,0.964946353

1.204166651,87.00145721,0.961242476

1.212499976,90.28026581,0.997468652

1.220833302,86.93300629,0.960486191

1.229166627,83.39579773,0.921405062

1.237499952,82.10674286,0.907162838

1.245833278,89.47202301,0.988538718

1.254166722,83.55171204,0.923127694

1.262500048,85.52732086,0.944955364

1.270833373,89.75670624,0.991684063

1.279166698,81.90515137,0.904935538

1.287500024,89.73123932,0.99140269

1.295833349,85.74698639,0.947382356

1.304166675,82.56032562,0.912174283

1.3125,89.86024475,0.992828016

1.320833325,86.92248535,0.960369949

1.329166651,87.6661377,0.968586251

1.337499976,85.46272278,0.944241647

1.345833302,86.99651337,0.961187854

1.354166627,88.59133911,0.978808412

1.362499952,89.63896179,0.990383154

1.370833278,86.98830414,0.961097153

1.379166722,91.49689484,1.010910674

1.387500048,91.71843719,1.013358402

1.395833373,89.51493835,0.989012871

1.404166698,91.6542511,1.012649237

1.412500024,89.3506546,0.987197769

1.420833349,88.48993683,0.977688061

1.429166675,87.97344208,0.971981528

1.4375,92.23020935,1.019012757

1.445833325,89.91207123,0.993400625

1.454166651,83.81794739,0.926069216

1.462499976,87.96896362,0.971932047

1.470833302,88.80988312,0.981223013

1.479166627,89.5542984,0.989447744

1.487499952,88.85118866,0.98167938

1.495833278,85.59647369,0.945719405

1.504166722,88.84288025,0.981587584

1.512500048,92.68973541,1.024089867

1.520833373,89.39797211,0.98772056

1.529166698,91.44361877,1.010322049

1.537500024,91.83039093,1.014595332

1.545833349,89.1887207,0.98540863

1.554166675,87.4755249,0.96648025

1.5625,83.10237122,0.918163116

1.570833325,91.72360992,1.013415554

1.579166651,90.4977417,0.999871452

1.587499976,88.01277924,0.972416148

1.595833302,91.87151337,1.015049677

1.604166627,92.69480133,1.024145839

1.612499952,91.67236328,1.012849351

1.620833278,88.37039185,0.976367259

1.629166722,87.35725403,0.965173525

1.637500048,94.53006744,1.044422921

1.645833373,89.7019577,0.991079169

1.654166698,92.31597137,1.019960306

1.662500024,92.81082153,1.025427697

1.670833349,86.8966217,0.960084193

1.679166675,91.98738861,1.016329933

1.6875,87.50931549,0.966853588

1.695833325,85.21697235,0.941526454

1.704166651,92.03870392,1.016896895

1.712499976,91.21002197,1.007741137

1.720833302,86.00854492,0.950272206

1.729166627,91.27478027,1.008456624

1.737499952,89.84673309,0.992678732

1.745833278,87.32428741,0.964809291

1.754166722,96.27449036,1.063696316

1.762500048,93.10108948,1.028634745

1.770833373,90.49500275,0.99984119

1.779166698,93.24349976,1.030208177

1.787500024,93.38830566,1.031808076

1.795833349,94.35175323,1.042452803

1.804166675,92.42233276,1.021135448

1.8125,94.26061249,1.041445827

1.820833325,85.90333557,0.949109792

1.829166651,92.00947571,1.016573964

1.837499976,87.28093719,0.964330333

1.845833302,97.61534882,1.078510896

1.854166627,95.62889099,1.05656336

1.862499952,93.7175827,1.035446119

1.870833278,96.33607483,1.064376737

1.879166722,89.78690338,0.992017698

1.887500048,97.91069794,1.081774085

1.895833373,87.77752686,0.969816943

1.904166698,98.6383667,1.08981379

1.912500024,94.71968842,1.046517964

1.920833349,94.96878052,1.049270077

1.929166675,95.63023376,1.056578196

1.9375,95.62928009,1.056567659

1.945833325,96.01026917,1.060777047

1.954166651,97.64750671,1.078866195

1.962499976,94.87326813,1.048214801

1.970833302,96.04397583,1.061149458

1.979166627,98.99859619,1.093793814

1.987499952,94.03838348,1.038990512

1.995833278,96.71034241,1.068511862

2.004166603,97.23189545,1.074274282

2.012500048,94.62943268,1.045520766

2.020833254,98.76449585,1.091207338

2.029166698,94.1844635,1.040604489

2.037499905,91.63617706,1.012449545

2.045833349,96.74089813,1.068849459

2.054166555,94.44511414,1.043484308

2.0625,94.52196503,1.044333401

2.070833445,95.22755432,1.05212916

2.079166651,96.0705719,1.061443307

2.087500095,92.34755707,1.020309283

2.095833302,96.57107544,1.066973159

2.104166746,99.83792877,1.103067247

2.112499952,97.47653961,1.076977252

