Time (min),Intensity (a.u.),

0.004166667,73.43169403,1

0.0125,70.13682556,0.955130159

0.020833334,66.33556366,0.903364202

0.029166667,71.03408051,0.967349064

0.037500001,73.206604,0.996934702

0.045833334,71.83341217,0.978234441

0.054166667,70.0486908,0.953929931

0.0625,71.22742462,0.969982043

0.070833333,68.93993378,0.938830769

0.079166666,69.7625351,0.950033034

0.087499999,68.79042053,0.936794683

0.095833331,72.42365265,0.986272394

0.104166664,69.20401001,0.942426985

0.112499997,70.24868774,0.956653509

0.12083333,67.70817566,0.922056566

0.129166663,68.85742188,0.937707114

0.137500003,67.29440308,0.916421771

0.145833328,68.86165619,0.937764777

0.154166669,70.08076477,0.954366717

0.162499994,68.27629852,0.929793319

0.170833334,65.07377625,0.886181057

0.17916666,67.85057831,0.92399582

0.1875,70.79381561,0.964077113

0.19583334,67.6360321,0.921074108

0.204166666,70.83037567,0.964574992

0.212500006,66.00312805,0.898837061

0.220833331,69.20021057,0.942375244

0.229166672,66.62018585,0.907240215

0.237499997,68.4066925,0.931569037

0.245833337,68.47745514,0.93253269

0.254166663,65.19425201,0.887821708

0.262499988,68.22612762,0.929110087

0.270833343,68.96935272,0.939231399

0.279166669,64.66251373,0.880580444

0.287499994,71.26176453,0.970449688

0.295833319,68.1333313,0.927846378

0.304166675,71.59934998,0.975046959

0.3125,67.29045868,0.916368056

0.320833325,67.66337585,0.921446478

0.329166681,67.20291901,0.915175932

0.337500006,64.24531555,0.874898998

0.345833331,68.70019531,0.935565987

0.354166657,71.25579834,0.970368439

0.362500012,64.24617767,0.874910739

0.370833337,65.36799622,0.890187774

0.379166663,70.37210083,0.95833416

0.387499988,67.93716431,0.925174956

0.395833343,67.83299255,0.923756335

0.404166669,67.15757751,0.914558467

0.412499994,68.52342987,0.933158778

0.420833319,68.62438202,0.934533554

0.429166675,67.64990997,0.921263098

0.4375,61.24332809,0.834017639

0.445833325,68.86573792,0.937820363

0.454166681,69.78691101,0.950364988

0.462500006,65.46140289,0.891459795

0.470833331,69.46144867,0.94593281

0.479166657,66.3626709,0.903733351

0.487500012,71.12928772,0.968645605

0.495833337,70.71110535,0.962950757

0.504166663,69.19249725,0.942270203

0.512499988,65.51226807,0.892152482

0.520833314,68.62759399,0.934577295

0.529166639,66.9572525,0.911830421

0.537500024,67.311409,0.916653359

0.545833349,67.53844452,0.919745151

0.554166675,69.44689941,0.945734677

0.5625,68.09635925,0.927342889

0.570833325,69.72180939,0.949478428

0.579166651,68.21940613,0.929018553

0.587499976,65.45458221,0.89136691

0.595833361,67.80170441,0.92333025

0.604166687,71.64216614,0.975630034

0.612500012,71.320755,0.971253026

0.620833337,68.10978699,0.927525749

0.629166663,72.5415802,0.987878343

0.637499988,70.25466156,0.956734861

0.645833314,64.92805481,0.884196608

0.654166639,67.8780365,0.924369748

0.662500024,68.54477692,0.933449484

0.670833349,70.43966675,0.95925428

0.679166675,70.09300995,0.954533473

0.6875,65.15023041,0.887222217

0.695833325,68.44158173,0.932044162

0.704166651,66.92873383,0.911442051

0.712499976,68.7431488,0.936150932

0.720833361,69.53504181,0.946935008

0.729166687,68.35328674,0.930841752

0.737500012,67.32511139,0.91683996

0.745833337,70.03738403,0.953775954

0.754166663,72.40026855,0.985953947

0.762499988,68.03604126,0.926521472

0.770833314,70.42757416,0.959089601

0.779166639,70.10868835,0.954746983

0.787500024,67.48332977,0.918994593

0.795833349,67.35655212,0.917268123

0.804166675,68.41885376,0.93173465

0.8125,67.36443329,0.917375449

0.820833325,68.07581329,0.927063092

0.829166651,69.54863739,0.947120154

0.837499976,73.10651398,0.995571666

0.845833361,69.9367981,0.952406165

0.854166687,69.9041214,0.95196117

0.862500012,70.88105011,0.965265081

0.870833337,73.07362366,0.995123763

0.879166663,69.75200653,0.949889655

0.887499988,68.48956299,0.932697576

0.895833314,70.12831879,0.955014313

0.904166639,67.8197937,0.923576592

0.912500024,72.95529938,0.993512411

0.920833349,72.13655853,0.982362718

0.929166675,71.27214813,0.970591092

0.9375,68.79096985,0.936802164

0.945833325,71.0306778,0.967302726

0.954166651,67.05072784,0.913103378

0.962499976,73.63865662,1.002818437

0.970833361,69.52510834,0.946799734

0.979166687,73.50701904,1.001025783

0.987500012,71.22541809,0.969954718

0.995833337,71.20343018,0.969655285

1.004166722,67.56273651,0.920075962

1.012500048,69.88269806,0.951669425

1.020833373,72.24784851,0.983878276

1.029166698,68.29821014,0.930091714

1.037500024,72.79271698,0.991298348

1.045833349,68.05493164,0.926778723

1.054166675,70.89238739,0.965419474

1.0625,70.17189789,0.955607777

1.070833325,76.92808533,1.047614199

1.079166651,69.6359787,0.948309577

1.087499976,69.52430725,0.946788824

1.095833302,71.39091492,0.97220847

1.104166627,72.2562561,0.983992771

1.112499952,70.64228058,0.962013494

1.120833278,74.18973541,1.010323082

1.129166722,72.62052917,0.988953478

1.137500048,72.55819702,0.988104632

1.145833373,71.57833099,0.974760721

1.154166698,74.93031311,1.020408341

1.162500024,71.99874115,0.980485907

1.170833349,74.22041321,1.010740855

1.179166675,75.40631104,1.026890528

1.1875,72.15407562,0.982601267

1.195833325,74.57498932,1.015569507

1.204166651,72.89178467,0.992647461

1.212499976,68.00389862,0.926083751

1.220833302,71.10830688,0.968359886

1.229166627,71.255867,0.970369374

1.237499952,71.56949615,0.974640407

1.245833278,76.1074295,1.036438428

1.254166722,70.32120514,0.957641058

1.262500048,74.03744507,1.008249177

1.270833373,72.25232697,0.983939264

1.279166698,69.84668732,0.951179028

1.287500024,72.27977753,0.984313088

1.295833349,76.71144104,1.044663916

1.304166675,72.38636017,0.985764541

1.3125,74.03460693,1.008210527

1.320833325,75.33516693,1.02592168

1.329166651,76.60021973,1.043149293

1.337499976,71.96440887,0.980018367

1.345833302,72.36846161,0.985520797

1.354166627,77.89468384,1.060777432

1.362499952,75.02436066,1.02168909

1.370833278,72.3151474,0.984794759

1.379166722,75.19419861,1.02400196

1.387500048,75.0303421,1.021770546

1.395833373,74.61042786,1.016052113

1.404166698,73.86378479,1.005884254

1.412500024,73.04311371,0.994708275

1.420833349,76.21220398,1.037865257

1.429166675,74.90145111,1.020015296

1.4375,79.14524841,1.077807743

1.445833325,74.43396759,1.013649059

1.454166651,75.07263184,1.022346452

1.462499976,75.50067902,1.02817564

1.470833302,74.22853851,1.010851506

1.479166627,75.65125275,1.030226168

1.487499952,75.82981873,1.032657897

1.495833278,77.94211578,1.061423365

1.504166722,77.25306702,1.052039832

1.512500048,76.63030243,1.043558962

1.520833373,77.83122253,1.05991321

1.529166698,78.58074951,1.070120342

1.537500024,79.06288147,1.076686062

1.545833349,73.90474701,1.006442082

1.554166675,77.12828064,1.050340478

1.5625,75.51793671,1.028410657

