TacXPD-K169E,,

Time (min),Intensity (a.u.),

0.004166667,58.43188095,1

0.0125,58.36685181,0.998887095

0.020833334,57.41559219,0.98260729

0.029166667,54.70264053,0.936177984

0.037500001,51.60776901,0.883212523

0.045833334,55.59635925,0.951473037

0.054166667,57.6910553,0.987321551

0.0625,53.68796539,0.91881289

0.070833333,55.56526184,0.950940838

0.079166666,57.77447128,0.988749127

0.087499999,57.4786377,0.983686247

0.095833331,53.67052841,0.918514474

0.104166664,54.13975906,0.926544862

0.112499997,57.15983582,0.97823029

0.12083333,53.35700226,0.913148805

0.129166663,55.53907013,0.950492595

0.137500003,54.36389923,0.930380784

0.145833328,54.68478775,0.935872453

0.154166669,54.54053497,0.933403719

0.162499994,58.06581879,0.993735232

0.170833334,54.89728165,0.939509062

0.17916666,54.60342789,0.934480065

0.1875,52.79821777,0.903585798

0.19583334,54.02468109,0.924575424

0.204166666,55.44449234,0.948873995

0.212500006,55.1394577,0.943653649

0.220833331,55.59502029,0.951450123

0.229166672,50.95950699,0.872118203

0.237499997,54.77475357,0.937412123

0.245833337,57.78060532,0.988854105

0.254166663,51.83161926,0.887043484

0.262499988,55.63035583,0.952054853

0.270833343,50.08613586,0.857171377

0.279166669,54.56047821,0.933745026

0.287499994,50.74144363,0.868386278

0.295833319,50.7991333,0.869373576

0.304166675,53.19924164,0.910448898

0.3125,54.80916977,0.93800112

0.320833325,51.17098999,0.875737511

0.329166681,53.41646957,0.914166525

0.337500006,50.71589279,0.867949003

0.345833331,54.5568428,0.93368281

0.354166657,56.12035751,0.960440715

0.362500012,52.98006439,0.906697911

0.370833337,54.59431839,0.934324165

0.379166663,52.59454727,0.900100192

0.387499988,56.1023941,0.96013329

0.395833343,51.32388306,0.878354115

0.404166669,53.19346237,0.910349992

0.412499994,56.08823776,0.959891019

0.420833319,56.00283813,0.958429495

0.429166675,52.69496918,0.901818807

0.4375,54.82693863,0.938305215

0.445833325,53.48012543,0.915255928

0.454166681,52.23861694,0.89400882

0.462500006,53.86647797,0.921867944

0.470833331,56.43881989,0.965890863

0.479166657,53.74683762,0.919820426

0.487500012,57.60439301,0.985838417

0.495833337,52.16444397,0.892739428

0.504166663,54.95630646,0.940519209

0.512499988,55.63165283,0.95207705

0.520833314,52.48659134,0.89825264

0.529166639,62.20030594,1.064492618

0.537500024,55.95761871,0.957655612

0.545833349,56.33625031,0.964135492

0.554166675,56.86699295,0.973218593

0.5625,61.16191101,1.046721584

0.570833325,54.86792374,0.939006632

0.579166651,52.91104507,0.905516718

0.587499976,57.85337067,0.990099407

0.595833361,61.84453583,1.058403988

0.604166687,51.61733627,0.883376257

0.612500012,52.31194305,0.895263719

0.620833337,56.28546906,0.963266425

0.629166663,51.68422318,0.884520956

0.637499988,54.10172653,0.925893975

0.645833314,53.42614365,0.914332087

0.654166639,55.68748093,0.953032489

0.662500024,57.15603638,0.978165266

0.670833349,54.54267883,0.933440409

0.679166675,58.32859039,0.998232291

0.6875,54.12356949,0.926267794

0.695833325,53.92034912,0.922789892

0.704166651,56.62706757,0.969112523

0.712499976,56.30094528,0.963531284

0.720833361,57.06450653,0.976598829

0.729166687,56.8559494,0.973029594

0.737500012,53.50883484,0.915747259

0.745833337,56.26441956,0.962906185

0.754166663,54.18137741,0.927257116

0.762499988,53.39457321,0.913791792

0.770833314,52.6568985,0.901167268

0.779166639,55.09499741,0.942892758

0.787500024,55.74549866,0.954025401

0.795833349,54.10612106,0.925969183

0.804166675,53.02972794,0.90754785

0.8125,52.84591675,0.904402116

0.820833325,57.80674362,0.989301434

0.829166651,55.7544632,0.95417882

0.837499976,54.41834641,0.93131259

0.845833361,56.7668457,0.971504678

0.854166687,58.94269943,1.008742119

0.862500012,58.49460602,1.001073473

0.870833337,54.83742523,0.938484682

0.879166663,51.58560562,0.88283322

0.887499988,56.38220215,0.96492191

0.895833314,55.97677231,0.957983406

0.904166639,54.57278442,0.933955634

0.912500024,58.32527542,0.998175559

0.920833349,57.87465286,0.990463629

0.929166675,55.21676636,0.944976706

0.9375,54.98164368,0.940952829

0.945833325,58.94102859,1.008713525

0.954166651,57.57828903,0.985391675

0.962499976,55.49464798,0.949732356

0.970833361,60.07225418,1.028073257

0.979166687,55.8019104,0.954990829

0.987500012,58.60500336,1.002962807

0.995833337,58.26594925,0.997160254

1.004166722,57.08819962,0.977004312

1.012500048,58.84433365,1.007058693

1.020833373,55.52167892,0.950194962

1.029166698,56.94447327,0.974544587

1.037500024,60.8079834,1.040664487

1.045833349,59.82204437,1.02379118

1.054166675,58.03747177,0.993250103

1.0625,58.67346954,1.004134534

1.070833325,60.7125473,1.039031199

1.079166651,60.90261078,1.042283935

1.087499976,60.62126541,1.037469005

1.095833302,59.55377579,1.019200047

1.104166627,58.85923004,1.007313629

1.112499952,64.67208099,1.106794441

1.120833278,59.19614029,1.013079492

1.129166722,64.65431213,1.106490345

1.137500048,59.28996658,1.01468523

1.145833373,62.49179077,1.069481074

1.154166698,60.95069122,1.043106781

1.162500024,57.83880997,0.989850216

1.170833349,60.82220078,1.040907802

1.179166675,63.01358414,1.078411017

1.1875,64.77375793,1.108534534
