TacXPD-K169E,,
Time (min),Intensity (a.u.),
0.004166667,69.60852051,1
0.0125,70.89755249,1.018518307
0.020833334,69.07584381,0.992347536
0.029166667,65.82442474,0.945637463
0.037500001,68.26463318,0.980693638
0.045833334,65.18267059,0.936417986
0.054166667,63.3986969,0.910789318
0.0625,61.43045044,0.882513376
0.070833333,66.52183533,0.955656504
0.079166666,66.75444794,0.95899823
0.087499999,66.73681641,0.958744934
0.095833331,64.74679565,0.930156182
0.104166664,65.7073822,0.943956023
0.112499997,68.50038147,0.984080411
0.12083333,62.63983154,0.899887414
0.129166663,66.72634888,0.958594557
0.137500003,63.6901474,0.914976312
0.145833328,62.03250504,0.891162527
0.154166669,64.96027374,0.93322302
0.162499994,62.62357712,0.899653902
0.170833334,65.49742126,0.940939712
0.17916666,62.96209335,0.904517046
0.1875,64.63536072,0.928555301
0.19583334,65.74578857,0.944507771
0.204166666,61.48361969,0.883277209
0.212500006,62.92955017,0.904049529
0.220833331,62.50582504,0.897962269
0.229166672,68.54066467,0.984659122
0.237499997,64.6827774,0.929236492
0.245833337,60.04648209,0.862631207
0.254166663,60.96404648,0.87581299
0.262499988,60.11023331,0.863547061
0.270833343,64.03134918,0.919878037
0.279166669,63.27279663,0.908980627
0.287499994,65.59590149,0.942354485
0.295833319,64.14206696,0.921468615
0.304166675,66.29066467,0.952335493
0.3125,62.68816376,0.900581758
0.320833325,62.24133301,0.894162562
0.329166681,66.79463196,0.959575516
0.337500006,62.31155396,0.89517136
0.345833331,65.59033966,0.942274583
0.354166657,61.63418579,0.88544025
0.362500012,64.57680511,0.927714088
0.370833337,64.95409393,0.933134241
0.379166663,61.19838715,0.879179542
0.387499988,62.46593857,0.897389258
0.395833343,62.31454086,0.89521427
0.404166669,65.80397034,0.945343614
0.412499994,64.13296509,0.921337857
0.420833319,68.53272247,0.984545024
0.429166675,67.40644073,0.968364796
0.4375,66.32409668,0.952815779
0.445833325,68.54295349,0.984692003
0.454166681,64.71098328,0.929641699
0.462500006,67.08264923,0.963713188
0.470833331,66.10993195,0.949739076
0.479166657,71.5814743,1.028343567
0.487500012,65.23464966,0.93716472
0.495833337,69.60823059,0.999995835
0.504166663,68.10461426,0.978394797
0.512499988,66.83330536,0.9601311
0.520833314,66.39914703,0.953893956
0.529166639,72.65565491,1.043775308
0.537500024,74.16777802,1.065498555
0.545833349,68.73335266,0.987427288
0.554166675,77.24230194,1.109667342
0.5625,74.07426453,1.064155135
0.570833325,73.17149353,1.051185875
0.579166651,70.67725372,1.015353483
0.587499976,75.49396515,1.084550635
0.595833361,73.71720123,1.059025543
0.604166687,75.82078552,1.089245756
0.612500012,75.4974823,1.084601163
0.620833337,73.92157745,1.061961623
0.629166663,78.50919342,1.127867578
0.637499988,74.55745697,1.071096705
0.645833314,79.73339081,1.145454468
0.654166639,79.2574234,1.138616693
0.662500024,80.94254303,1.162825218
0.670833349,80.43442535,1.15552557
0.679166675,77.38863373,1.111769553
0.6875,78.57150269,1.128762716
0.695833325,87.80878448,1.261466037
0.704166651,82.24620819,1.181553746
0.712499976,86.20698547,1.2384545
0.720833361,86.01467133,1.235691704
0.729166687,92.85585022,1.333972473
0.737500012,85.29206848,1.22531075
0.745833337,84.41602325,1.212725434
0.754166663,92.36450958,1.326913845
0.762499988,90.7309494,1.303446026
0.770833314,93.22406769,1.339262306
0.779166639,89.93668365,1.292035558
0.787500024,87.90369415,1.262829514
0.795833349,92.51154327,1.329026139
0.804166675,93.0677948,1.337017281
0.8125,100.9017639,1.44956053
0.820833325,92.64099884,1.330885905
0.829166651,94.5017395,1.357617412
0.837499976,93.84857178,1.348233968
0.845833361,95.13037109,1.36664837
0.854166687,98.90127563,1.420821401
0.862500012,99.01802063,1.422498566
0.870833337,99.67404175,1.431923003
0.879166663,103.5863953,1.488128099
0.887499988,102.5697098,1.473522337
0.895833314,101.8591461,1.463314338
0.904166639,103.2283936,1.482985026
0.912500024,100.5965424,1.445175701
0.920833349,101.3076019,1.455390822
0.929166675,103.701889,1.489787288
0.9375,107.8110199,1.548819298
0.945833325,107.5378723,1.544895244
0.954166651,108.6463242,1.560819328
0.962499976,104.4048309,1.499885792
0.970833361,109.0605774,1.566770513
0.979166687,116.3832321,1.671968191
0.987500012,111.7281952,1.605093664
0.995833337,110.3158493,1.584803821
1.004166722,115.8963089,1.664973024
1.012500048,108.7444611,1.562229168
1.020833373,111.6100235,1.603396002
1.029166698,110.0119705,1.580438281
1.037500024,111.5400772,1.60239115
1.045833349,116.2569504,1.670154021
1.054166675,118.3430099,1.700122471
1.0625,115.4757309,1.658930976
1.070833325,115.1863174,1.654773246
1.079166651,115.889183,1.664870653
1.087499976,121.7605362,1.74921885
1.095833302,118.731163,1.705698701
1.104166627,124.0066681,1.78148691
1.112499952,123.4847717,1.773989316
1.120833278,122.8466492,1.764822012
1.129166722,123.3690414,1.772326728
1.137500048,124.1710129,1.783847897
1.145833373,126.2270203,1.813384617
1.154166698,122.9397354,1.766159293
1.162500024,125.6307526,1.804818601
1.170833349,127.2893829,1.828646579
1.179166675,124.483017,1.788330165
1.1875,125.8484879,1.807946599
1.195833325,127.5667877,1.832631792
1.204166651,129.3630219,1.858436596
1.212499976,136.7889557,1.965117987
1.220833302,127.3726501,1.8298428
1.229166627,127.1086655,1.826050382
1.237499952,136.0707245,1.954799836
1.245833278,125.2337723,1.799115559
1.254166722,128.149704,1.841006001
1.262500048,133.1641388,1.913043659
1.270833373,138.2501221,1.986109187
1.279166698,130.4990082,1.87475624
1.287500024,132.0153198,1.89653966
1.295833349,131.3301849,1.886696972
1.304166675,138.069519,1.983514633
1.3125,137.124176,1.969933781
1.320833325,139.4601288,2.003492213
1.329166651,148.5852661,2.134584459
1.337499976,140.6054688,2.019946233
1.345833302,140.3667297,2.016516494
1.354166627,136.7721863,1.964877077
1.362499952,150.7761078,2.166058217
1.370833278,147.1629791,2.114151802
1.379166722,148.2544861,2.129832455
1.387500048,145.0686188,2.084064102
1.395833373,149.417572,2.146541413
1.404166698,146.8943787,2.110293074
1.412500024,144.7618866,2.07965757
1.420833349,150.2664795,2.158736867
1.429166675,148.629303,2.135217096
1.4375,147.7645264,2.122793665
1.445833325,145.8597717,2.09542985
1.454166651,153.5747986,2.206264369
1.462499976,150.9964447,2.169223589
1.470833302,150.3807983,2.160379178
1.479166627,154.1306305,2.214249482
1.487499952,154.5037079,2.219609134
1.495833278,155.3842926,2.232259664
1.504166722,158.7267761,2.280277974
1.512500048,156.2732086,2.245029882
1.520833373,157.1367493,2.257435557
1.529166698,153.0526581,2.198763269
1.537500024,160.5156097,2.30597646
1.545833349,156.6349487,2.250226661
1.554166675,159.6595154,2.29367776
1.5625,162.4119415,2.333219271
1.570833325,163.6371155,2.350820191
1.579166651,164.1271515,2.357860077
1.587499976,161.1062622,2.314461808
1.595833302,164.3715363,2.361370923
1.604166627,156.7669678,2.252123255
1.612499952,160.6335907,2.307671382
1.620833278,163.0019073,2.341694754
1.629166722,164.1198425,2.357755075
1.637500048,169.3347321,2.432672478
1.645833373,170.6839752,2.452055782
1.654166698,159.4909668,2.291256381
1.662500024,166.6810913,2.394550122
1.670833349,163.9411469,2.355187924
1.679166675,176.3793488,2.533875846
1.6875,178.5745239,2.565411858
1.695833325,171.8141479,2.468291908
1.704166651,168.4936523,2.420589478
1.712499976,172.5131989,2.478334515
1.720833302,169.9749603,2.441870033
1.729166627,171.9110565,2.469684102
1.737499952,179.6165771,2.580382054
1.745833278,176.0946045,2.529785193
1.754166722,173.8578949,2.497652495
1.762500048,176.1579132,2.53069469
1.770833373,175.7985382,2.525531888
1.779166698,171.9098206,2.469666347
1.787500024,173.6083221,2.494067117
1.795833349,175.4114685,2.519971222
1.804166675,169.2529449,2.431497519
1.8125,176.1714172,2.530888689
1.820833325,185.4698334,2.664470269
1.829166651,173.5779572,2.493630894
1.837499976,183.5676422,2.637143282
1.845833302,176.5968933,2.537001103
1.854166627,172.0618591,2.471850541
1.862499952,180.2113342,2.588926368
1.870833278,177.0807037,2.543951551
1.879166722,178.7320251,2.567674529
1.887500048,184.9665833,2.65724055
1.895833373,183.2796631,2.633006157
1.904166698,184.4631958,2.650008856
1.912500024,181.385849,2.605799515
1.920833349,187.6394958,2.695639764
1.929166675,186.9324493,2.685482293
1.9375,187.7646942,2.697438371
1.945833325,175.6603546,2.523546734
1.954166651,185.4338684,2.663953594
1.962499976,188.3243713,2.705478725
1.970833302,188.1507874,2.702985008
1.979166627,188.6302032,2.709872323
1.987499952,184.4038849,2.649156792
1.995833278,185.2032623,2.660640694
2.004166603,191.5903625,2.752398142
2.012500048,193.1902313,2.775381949
2.020833254,188.7010956,2.710890768
2.029166698,187.3097076,2.690902008
2.037499905,192.1826477,2.760906945
2.045833349,190.1639557,2.7319063
2.054166555,202.8086243,2.913560334
2.0625,194.9749756,2.801021688
2.070833445,195.645813,2.810658976
2.079166651,193.9857635,2.78681061
2.087500095,191.7102356,2.754120246
2.095833302,201.3812256,2.893054243
2.104166746,189.835434,2.727186738
2.112499952,194.40625,2.792851343
2.120833397,201.5292511,2.895180786
2.129166603,192.8565979,2.770588952
2.137500048,199.5583801,2.86686714
2.145833254,199.1612854,2.861162455
2.154166698,206.7054443,2.969542274
2.162499905,210.1042633,3.018369903
2.170833349,198.9528198,2.858167626
2.179166555,202.0869446,2.903192643
2.1875,200.2309723,2.876529638
2.195833445,200.2179413,2.876342434
2.204166651,194.9594116,2.800798094
2.212500095,200.1303558,2.875084176
2.220833302,203.6876526,2.926188505
2.229166746,204.6603851,2.940162836
2.237499952,209.2362213,3.005899562
2.245833397,206.887085,2.972151735
2.254166603,194.90802,2.8000598
2.262500048,208.0619354,2.989029703
2.270833254,200.6074371,2.881937953
2.279166698,204.5503845,2.938582561
2.287499905,213.412674,3.065898721
2.295833349,209.3504181,3.00754012
2.304166555,210.1103058,3.01845671
2.3125,206.1729431,2.961892331
2.320833445,207.3901672,2.979379043
2.329166651,205.6183777,2.953925413
2.337500095,214.8979034,3.087235612
2.345833302,213.575943,3.068244253
2.354166746,211.9719696,3.045201479
2.362499952,211.4507294,3.037713312
2.370833397,207.0283051,2.974180511
2.379166603,212.1394806,3.047607952
2.387500048,215.195343,3.091508646
2.395833254,213.5451355,3.06780167
2.404166698,224.5686188,3.226165664
2.412499905,220.618988,3.169425041
2.420833349,221.91745,3.188078821
2.429166555,209.9194794,3.015715287
2.4375,217.1227722,3.119198205
2.445833445,215.1949005,3.091502289
2.454166651,213.4454956,3.066370238
2.462500095,217.6870422,3.12730454
2.470833302,221.2112885,3.177934064
2.479166746,218.8074646,3.143400592
2.487499952,219.4129486,3.15209901
2.495833397,217.6569977,3.126872919
2.504166603,220.4045563,3.166344503
2.512500048,216.8964539,3.115946903
2.520833254,217.5366516,3.12514402
2.529166698,220.1803741,3.163123889
2.537499905,226.4070435,3.252576579
2.545833349,217.7463837,3.128157043
2.554166555,220.6348724,3.169653238
2.5625,221.9556122,3.188627061
2.570833445,223.5069733,3.210914004
2.579166651,221.4819641,3.181822606
2.587500095,224.0436707,3.21862423
2.595833302,219.5683136,3.154330993
2.604166746,230.3926849,3.309834532
2.612499952,217.6049347,3.126124979
2.620833397,226.1228638,3.248494037
2.629166603,227.7538605,3.271925029
2.637500048,229.22789,3.293101022
2.645833254,222.9720764,3.203229644
2.654166698,218.205307,3.134749962
2.662499905,222.3520203,3.194321883
2.670833349,223.7068939,3.213786075
2.679166555,230.1811981,3.3067963
2.6875,228.3534546,3.280538832
2.695833445,219.3608856,3.15135107
2.704166651,228.4196777,3.281490197
2.712500095,227.7810211,3.27231522
2.720833302,229.8291626,3.301738938
2.729166746,222.3563843,3.194384576
2.737499952,220.2647705,3.164336332
