TacXPD-y16+5e,,
Time (min),Intensity (a.u.),
0.004166667,79.34719849,1
0.0125,78.80989838,0.993228493
0.020833334,76.23577118,0.960787181
0.029166667,71.42632294,0.900174477
0.037500001,75.75034332,0.954669412
0.045833334,71.94364929,0.906694258
0.054166667,69.93254089,0.881348582
0.0625,75.93334961,0.956975811
0.070833333,78.26687622,0.986384872
0.079166666,68.91156769,0.868481421
0.087499999,73.82267761,0.930375351
0.095833331,68.31822205,0.861003581
0.104166664,73.19259644,0.922434539
0.112499997,72.14008331,0.909169885
0.12083333,68.08898163,0.858114501
0.129166663,72.44080353,0.912959813
0.137500003,67.58533478,0.851767121
0.145833328,69.6831131,0.878205084
0.154166669,69.61647797,0.877365292
0.162499994,73.28484344,0.923597113
0.170833334,72.13980103,0.909166327
0.17916666,71.56869507,0.901968771
0.1875,68.94802856,0.868940931
0.19583334,68.59799957,0.864529572
0.204166666,70.12702942,0.88379969
0.212500006,68.89826965,0.868313828
0.220833331,73.71982574,0.929079125
0.229166672,70.71337891,0.891189358
0.237499997,70.77468109,0.89196194
0.245833337,71.15318298,0.896732138
0.254166663,69.14539337,0.871428288
0.262499988,69.24245453,0.872651535
0.270833343,69.46368408,0.875439655
0.279166669,67.77442169,0.854150152
0.287499994,73.50278473,0.926343792
0.295833319,69.80711365,0.879767843
0.304166675,75.88915253,0.956418802
0.3125,75.66521454,0.953596548
0.320833325,71.73806,0.90410325
0.329166681,74.03391266,0.933037512
0.337500006,69.35411072,0.87405872
0.345833331,73.57420349,0.927243871
0.354166657,65.66970825,0.827624787
0.362500012,71.77642822,0.904586798
0.370833337,69.98452759,0.882003762
0.379166663,70.19674683,0.884678327
0.387499988,66.75931549,0.841356932
0.395833343,70.28440857,0.885783114
0.404166669,70.85696411,0.89299894
0.412499994,73.81272125,0.930249872
0.420833319,67.84549713,0.855045905
0.429166675,77.85713196,0.981220931
0.4375,74.66186523,0.940951497
0.445833325,71.70605469,0.903699892
0.454166681,69.60829926,0.877262217
0.462500006,71.93611145,0.90659926
0.470833331,73.5594635,0.927058105
0.479166657,69.56066895,0.87666194
0.487500012,74.68338013,0.941222646
0.495833337,72.61126709,0.915108138
0.504166663,78.39439392,0.987991957
0.512499988,72.63290405,0.915380825
0.520833314,77.38529205,0.975274408
0.529166639,75.33385468,0.949420472
0.537500024,71.05136108,0.895448893
0.545833349,75.63369751,0.953199344
0.554166675,73.40792847,0.925148334
0.5625,78.39324951,0.987977534
0.570833325,72.44290924,0.912986351
0.579166651,74.32203674,0.936668693
0.587499976,78.37553406,0.987754269
0.595833361,76.69300842,0.966549669
0.604166687,80.22740173,1.01109306
0.612500012,77.19615936,0.972890799
0.620833337,74.42584991,0.937977034
0.629166663,77.2662735,0.973774437
0.637499988,75.15339661,0.947146188
0.645833314,74.59420013,0.940098725
0.654166639,77.85636139,0.981211219
0.662500024,79.25131989,0.998791657
0.670833349,76.42689514,0.963195886
0.679166675,78.71834564,0.992074669
0.6875,76.96807098,0.970016238
0.695833325,77.29341125,0.974116449
0.704166651,77.80570984,0.980572866
0.712499976,77.37213135,0.975108546
0.720833361,80.41603088,1.013470323
0.729166687,83.5944519,1.053527453
0.737500012,83.08097839,1.047056228
0.745833337,79.27716064,0.999117324
0.754166663,80.77451324,1.017988219
0.762499988,79.25397491,0.998825118
0.770833314,80.89115906,1.019458287
0.779166639,82.46356201,1.039275029
0.787500024,81.28530121,1.024425597
0.795833349,83.13568878,1.047745735
0.804166675,79.44207001,1.001195651
0.8125,81.75209808,1.030308563
0.820833325,89.63591003,1.129666979
0.829166651,87.68250275,1.105048501
0.837499976,84.05913544,1.059383785
0.845833361,89.64681244,1.129804381
0.854166687,86.36427307,1.088435064
0.862500012,84.48961639,1.064809067
0.870833337,89.41981506,1.126943569
0.879166663,89.76137543,1.1312482
0.887499988,88.93671417,1.120855126
0.895833314,89.00588989,1.121726937
0.904166639,90.06738281,1.135104761
0.912500024,91.37361145,1.151566951
0.920833349,91.30970764,1.150761582
0.929166675,90.32333374,1.13833047
0.9375,91.79170227,1.156836083
0.945833325,89.87636566,1.132697403
0.954166651,93.27671814,1.175551499
0.962499976,94.34339905,1.188994707
0.970833361,95.69624329,1.206044386
0.979166687,98.14118958,1.236857652
0.987500012,96.56815338,1.217032929
0.995833337,99.74136353,1.257024387
1.004166722,100.6944275,1.269035699
1.012500048,104.1517868,1.312608243
1.020833373,97.03587341,1.222927529
1.029166698,101.2651062,1.276227871
1.037500024,97.98519135,1.234891631
1.045833349,102.2230225,1.288300336
1.054166675,99.17261505,1.249856541
1.0625,104.189209,1.313079869
1.070833325,97.59372711,1.22995807
1.079166651,105.0956726,1.324503884
1.087499976,101.9577866,1.284957611
1.095833302,111.6902924,1.407614818
1.104166627,99.25221252,1.250859695
1.112499952,105.6486511,1.331472983
1.120833278,106.4374313,1.341413854
1.129166722,109.2423477,1.376763765
1.137500048,108.2538605,1.364306019
1.145833373,107.3379898,1.352763448
1.154166698,110.9351883,1.398098363
1.162500024,108.2129288,1.363790163
1.170833349,109.9106064,1.385185722
1.179166675,115.8806,1.460424592
1.1875,112.6919403,1.420238426
1.195833325,113.2603912,1.427402522
1.204166651,106.2627792,1.339212741
1.212499976,110.7816238,1.396163014
1.220833302,110.3453674,1.390664945
1.229166627,114.2875061,1.440347086
1.237499952,115.0188675,1.449564316
1.245833278,113.0151825,1.424312196
1.254166722,114.7562256,1.446254282
1.262500048,114.2509155,1.43988594
1.270833373,121.8036194,1.535071455
1.279166698,117.1436462,1.476342561
1.287500024,117.8981171,1.485851036
1.295833349,118.71978,1.496206322
1.304166675,123.2000122,1.552669969
1.3125,122.236145,1.540522505
1.320833325,114.9035339,1.448110785
1.329166651,123.2133255,1.552837754
1.337499976,117.3119125,1.478463194
1.345833302,125.5217361,1.581930282
1.354166627,125.1291656,1.576982779
1.362499952,121.2189178,1.527702554
1.370833278,128.1803741,1.61543667
1.379166722,124.6950531,1.571511729
1.387500048,123.6841507,1.558771489
1.395833373,118.4867706,1.493269742
1.404166698,131.9370728,1.66278174
1.412500024,130.5205994,1.644930154
1.420833349,128.826828,1.623583825
1.429166675,128.6326599,1.621136755
1.4375,131.1225128,1.652515972
1.445833325,131.2242279,1.653797871
1.454166651,132.876236,1.674617863
1.462499976,135.2118378,1.704053078
1.470833302,134.2484741,1.69191196
1.479166627,133.8009033,1.686271297
1.487499952,139.6589203,1.760098944
1.495833278,139.1462402,1.753637719
1.504166722,134.4490814,1.694440181
1.512500048,131.4043121,1.656067443
1.520833373,136.181015,1.716267462
1.529166698,135.3624878,1.705951696
1.537500024,137.4195557,1.731876592
1.545833349,140.3845062,1.769243387
1.554166675,141.0064392,1.777081509
1.5625,145.4524994,1.833114491
1.570833325,136.4469147,1.719618554
1.579166651,146.2142181,1.84271431
1.587499976,144.6069794,1.822458539
1.595833302,141.5072174,1.783392736
1.604166627,139.5622253,1.758880313
1.612499952,140.6953888,1.77316139
1.620833278,152.9673004,1.927822322
1.629166722,137.3439789,1.73092411
1.637500048,139.1421661,1.753586374
1.645833373,142.1631775,1.791659696
1.654166698,143.7005005,1.811034331
1.662500024,142.9825439,1.801986039
1.670833349,141.9870148,1.789439545
1.679166675,150.4976959,1.896698293
1.6875,146.6434937,1.848124401
1.695833325,147.2108154,1.855274266
1.704166651,148.1974945,1.867709224
1.712499976,151.7298431,1.912226846
1.720833302,150.7590332,1.899991885
1.729166627,147.8016205,1.862720087
1.737499952,145.5548553,1.834404466
1.745833278,157.4117432,1.98383492
1.754166722,154.1483307,1.942706657
1.762500048,159.5640564,2.010960178
1.770833373,158.3805542,1.99604469
1.779166698,158.7976685,2.001301514
1.787500024,153.5935211,1.93571448
1.795833349,157.2634888,1.981966494
1.804166675,157.6430969,1.986750634
1.8125,152.8263245,1.926045625
1.820833325,158.991394,2.003743006
1.829166651,156.9553375,1.978082913
1.837499976,159.9076233,2.015290096
1.845833302,161.8303528,2.039521948
1.854166627,159.3041992,2.007685239
1.862499952,159.9825439,2.016234309
1.870833278,152.5547028,1.92262242
1.879166722,164.2866821,2.070478671
1.887500048,157.8751221,1.98967481
1.895833373,162.6036224,2.04926734
1.904166698,159.7823944,2.013711857
1.912500024,165.8920288,2.090710598
1.920833349,162.4023743,2.046731043
1.929166675,165.4476929,2.085110704
1.9375,158.24617,1.994351067
1.945833325,165.9181061,2.091039246
1.954166651,171.7998352,2.165165733
1.962499976,168.4558563,2.123022104
1.970833302,169.5406647,2.13669377
1.979166627,167.1465302,2.106520878
1.987499952,167.8128052,2.114917834
1.995833278,170.5222778,2.149064883
2.004166603,164.426239,2.072237484
2.012500048,173.0948029,2.181486003
2.020833254,169.4234619,2.135216682
2.029166698,169.4275818,2.135268605
2.037499905,172.8872375,2.17887009
2.045833349,175.7934265,2.215496323
2.054166555,167.2675476,2.10804604
