Time (min),Intensity (a.u.),

0.004166667,72.53567505,1

0.0125,68.41275787,0.943160146

0.020833334,71.32904816,0.983365056

0.029166667,70.59279633,0.973214853

0.037500001,73.67377472,1.015690206

0.045833334,70.75874329,0.975502651

0.054166667,68.33411407,0.942075937

0.0625,69.13683319,0.95314248

0.070833333,67.65021515,0.932647488

0.079166666,69.06127167,0.952100765

0.087499999,63.03203964,0.868979845

0.095833331,70.81880188,0.976330638

0.104166664,66.5275116,0.917169538

0.112499997,69.18175507,0.953761787

0.12083333,72.42206573,0.998433746

0.129166663,69.75937653,0.961725061

0.137500003,68.27069855,0.941201671

0.145833328,66.3616333,0.914882687

0.154166669,72.31494904,0.996957001

0.162499994,63.89429474,0.880867169

0.170833334,68.18204498,0.939979464

0.17916666,66.81066895,0.921073236

0.1875,66.7689743,0.92049842

0.19583334,68.69855499,0.947100236

0.204166666,66.81169128,0.92108733

0.212500006,68.99746704,0.951221133

0.220833331,65.0664444,0.897026799

0.229166672,66.452034,0.91612898

0.237499997,64.13031006,0.884120952

0.245833337,66.52671814,0.917158599

0.254166663,67.04484558,0.92430167

0.262499988,67.25843811,0.927246325

0.270833343,68.2075119,0.940330559

0.279166669,65.69644928,0.905712248

0.287499994,64.23664856,0.885586968

0.295833319,67.42094421,0.929486686

0.304166675,61.85786438,0.852792289

0.3125,67.20911407,0.926566328

0.320833325,68.48220825,0.944117611

0.329166681,69.93588257,0.96415843

0.337500006,67.51056671,0.93072225

0.345833331,65.48272705,0.902765805

0.354166657,68.96051788,0.950711741

0.362500012,70.46690369,0.971479257

0.370833337,67.64070892,0.932516432

0.379166663,68.33402252,0.942074675

0.387499988,65.63077545,0.904806847

0.395833343,68.07504272,0.938504297

0.404166669,69.24875641,0.954685489

0.412499994,67.35635376,0.928596221

0.420833319,63.1917038,0.871181026

0.429166675,66.89659119,0.922257788

0.4375,70.39092255,0.970431757

0.445833325,67.0298233,0.924094568

0.454166681,69.95448303,0.964414862

0.462500006,70.17967987,0.967519497

0.470833331,70.86716461,0.976997382

0.479166657,63.58190536,0.876560469

0.487500012,75.44813538,1.040152109

0.495833337,72.18112183,0.995112016

0.504166663,70.06826782,0.965983535

0.512499988,69.73823547,0.961433604

0.520833314,69.69796753,0.960878457

0.529166639,67.2124939,0.926612923

0.537500024,73.00348663,1.0064494

0.545833349,75.36853027,1.039054647

0.554166675,73.4310379,1.012343758

0.5625,72.07936096,0.993709108

0.570833325,68.11209869,0.939015162

0.579166651,75.32431793,1.038445122

0.587499976,74.11877441,1.021825114

0.595833361,77.17034912,1.063895098

0.604166687,78.69197083,1.084872661

0.612500012,72.00052643,0.99262227

0.620833337,72.35489655,0.99750773

0.629166663,76.61326599,1.056214972

0.637499988,72.94039917,1.005579656

0.645833314,76.84338379,1.05938745

0.654166639,77.05354309,1.062284773

0.662500024,75.17723083,1.036417332

0.670833349,80.3443222,1.107652505

0.679166675,79.13694763,1.091007254

0.6875,70.80911255,0.976197058

0.695833325,76.08635712,1.048950838

0.704166651,77.48989105,1.068300405

0.712499976,78.2323761,1.078536541

0.720833361,78.02136993,1.075627543

0.729166687,82.63140106,1.139182906

0.737500012,79.00806427,1.089230426

0.745833337,78.01264954,1.075507321

0.754166663,77.63917542,1.070358487

0.762499988,82.67675018,1.139808103

0.770833314,79.52883148,1.09640989

0.779166639,79.68186951,1.098519721

0.787500024,83.32501221,1.148745251

0.795833349,81.83099365,1.128148233

0.804166675,82.86284637,1.142373685

0.8125,86.98084259,1.199145697

0.820833325,83.01548004,1.144477941

0.829166651,90.98840332,1.25439521

0.837499976,90.46537018,1.247184508

0.845833361,88.42545319,1.21906156

0.854166687,87.18328094,1.201936576

0.862500012,86.68076324,1.195008707

0.870833337,92.79801178,1.27934305

0.879166663,87.81238556,1.210609614

0.887499988,89.79308319,1.237916144

0.895833314,88.93280792,1.226056115

0.904166639,89.50565338,1.233953545

0.912500024,95.97607422,1.323156835

0.920833349,94.62501526,1.304530704

0.929166675,94.25091553,1.299373246

0.9375,93.35070038,1.286962592

0.945833325,91.63569641,1.263318999

0.954166651,92.01036072,1.268484241

0.962499976,96.22834015,1.326634654

0.970833361,96.39775085,1.328970204

0.979166687,95.96207428,1.322963827

0.987500012,91.51062012,1.261594657

0.995833337,93.32423401,1.286597718

1.004166722,101.5581055,1.400112502

1.012500048,98.30319214,1.355239226

1.020833373,98.68554688,1.360510491

1.029166698,97.80123138,1.348319035

1.037500024,100.8657303,1.390567196

1.045833349,101.4432449,1.398528997

1.054166675,99.67725372,1.374182479

1.0625,105.0299835,1.447976922

1.070833325,102.6373901,1.414991865

1.079166651,103.3717194,1.425115563

1.087499976,103.7116165,1.429801493

1.095833302,100.0353317,1.379119056

1.104166627,105.1167831,1.449173569

1.112499952,99.92612457,1.377613492

1.120833278,106.3876343,1.46669393

1.129166722,106.3213577,1.46578022

1.137500048,109.0283966,1.503100323

1.145833373,105.1509094,1.449644045

1.154166698,110.1406326,1.518433964

1.162500024,108.6943436,1.498494962

1.170833349,111.3306122,1.534839403

1.179166675,108.7293091,1.498977007

1.1875,107.2699127,1.478857302

1.195833325,114.7324524,1.581738259

1.204166651,111.5594864,1.537994736

1.212499976,111.5172501,1.537412453

1.220833302,111.7491226,1.540609121

1.229166627,113.2529526,1.561341402

1.237499952,121.4481506,1.674323021

1.245833278,117.6689453,1.622221689

1.254166722,114.9702606,1.585016759

1.262500048,116.1626129,1.601454909

1.270833373,120.1372223,1.656250145

1.279166698,120.0840454,1.655517031

1.287500024,122.2565842,1.685468345

1.295833349,119.7411652,1.650789975

1.304166675,120.5639648,1.662133353

1.3125,118.8966827,1.639147669

1.320833325,121.2666245,1.671820444

1.329166651,120.3277893,1.658877362

1.337499976,121.600647,1.676425385

1.345833302,124.1667557,1.71180258

1.354166627,125.3606262,1.72826166

1.362499952,126.6424789,1.745933691

1.370833278,126.9053802,1.749558133

1.379166722,122.3406906,1.686627863

1.387500048,125.7666016,1.733858567

1.395833373,128.901947,1.777083441

1.404166698,125.9506531,1.73639596

1.412500024,124.5304794,1.716816991

1.420833349,131.4005737,1.811530307

1.429166675,135.2878418,1.865121428

1.4375,127.3749619,1.756031936

1.445833325,129.0605164,1.779269529

1.454166651,128.0457153,1.765279157

1.462499976,126.6973801,1.746690577

1.470833302,128.9873962,1.778261471

1.479166627,126.895607,1.749423396

1.487499952,132.58992,1.827927015

1.495833278,127.8536453,1.762631219

1.504166722,128.9117584,1.777218704

1.512500048,132.6073761,1.828167671

1.520833373,134.2072296,1.850223762

1.529166698,132.9998779,1.833578826

1.537500024,132.8291779,1.831225501

1.545833349,137.9463043,1.901771841

1.554166675,133.0791016,1.834671029

1.5625,136.3433228,1.879672626

1.570833325,129.9189148,1.791103684

1.579166651,132.6351776,1.828550951

1.587499976,134.0186768,1.847624313

1.595833302,133.1238251,1.835287602

1.604166627,130.289505,1.796212759

1.612499952,135.5098877,1.868182623

1.620833278,133.9038239,1.846040914

1.629166722,135.2562256,1.864685557

1.637500048,140.8633423,1.94198706

1.645833373,136.5924377,1.883107004

1.654166698,138.664856,1.911678025

1.662500024,137.5424805,1.896204597

1.670833349,141.1148071,1.945453834

1.679166675,143.6236725,1.980041854

1.6875,138.3875275,1.907854685

1.695833325,146.6089478,2.021197813

1.704166651,144.9268799,1.998008288

1.712499976,137.7119598,1.898541093

1.720833302,138.7038422,1.912215501

1.729166627,144.319519,1.989635016

1.737499952,145.0253906,1.999366388

1.745833278,139.7539215,1.92669223

1.754166722,149.5897064,2.062291504

1.762500048,142.9118652,1.970228651

1.770833373,145.897049,2.011383349

