TacXPD-y165e,,

Time (min),Intensity (a.u.),

0.004166667,44.33786011,1

0.0125,42.54412079,0.959543845

0.020833334,45.22533035,1.020016082

0.029166667,46.12663269,1.040344134

0.037500001,44.74760056,1.009241322

0.045833334,41.62630844,0.938843425

0.054166667,45.15649796,1.01846363

0.0625,47.3910408,1.068861706

0.070833333,44.02270508,0.992891966

0.079166666,40.44295502,0.912153968

0.087499999,45.82333755,1.033503589

0.095833331,40.7169075,0.918332716

0.104166664,43.08197403,0.971674635

0.112499997,45.3861351,1.023642886

0.12083333,44.59323883,1.005759834

0.129166663,44.55502701,1.004898001

0.137500003,44.7154274,1.008515686

0.145833328,43.33685684,0.977423284

0.154166669,42.81469727,0.965646451

0.162499994,39.65544128,0.894392314

0.170833334,40.88460541,0.92211499

0.17916666,44.12509155,0.995201199

0.1875,42.84766006,0.966389897

0.19583334,43.07448578,0.971505744

0.204166666,40.85929489,0.921544134

0.212500006,46.87887955,1.057310376

0.220833331,43.3741188,0.978263694

0.229166672,43.97359085,0.991784239

0.237499997,41.11956406,0.927414268

0.245833337,45.18002319,1.01899422

0.254166663,43.28199768,0.976185986

0.262499988,43.06296539,0.971245912

0.270833343,41.32276917,0.931997374

0.279166669,43.52872086,0.981750602

0.287499994,41.24547195,0.930254005

0.295833319,45.75576019,1.031979443

0.304166675,43.43592072,0.97965758

0.3125,41.70116806,0.940531815

0.320833325,46.41461945,1.046839413

0.329166681,41.96548843,0.94649332

0.337500006,41.5454216,0.937019096

0.345833331,46.57634735,1.050487038

0.354166657,42.57789612,0.960305617

0.362500012,43.45385742,0.980062126

0.370833337,45.72320938,1.031245289

0.379166663,42.98731995,0.969539798

0.387499988,41.96459198,0.946473102

0.395833343,43.06036377,0.971187235

0.404166669,43.82062149,0.988334155

0.412499994,45.52693558,1.026818513

0.420833319,46.51511765,1.049106058

0.429166675,47.11192703,1.06256655

0.4375,45.22061157,1.019909654

0.445833325,49.55874634,1.117752328

0.454166681,46.89992523,1.057785042

0.462500006,51.0389061,1.151135981

0.470833331,50.37348938,1.136128114

0.479166657,51.71069336,1.16628753

0.487500012,44.99414825,1.01480198

0.495833337,47.58055115,1.073135939

0.504166663,49.0784111,1.106918804

0.512499988,49.61626434,1.119049594

0.520833314,51.72061157,1.166511226

0.529166639,52.86542511,1.192331452

0.537500024,53.12421799,1.198168289

0.545833349,49.85488892,1.124431553

0.554166675,52.13495636,1.175856395

0.5625,51.60702515,1.163949388

0.570833325,55.52819443,1.252387785

0.579166651,52.74517441,1.189619307

0.587499976,55.72666931,1.256864205

0.595833361,54.96485519,1.239682183

0.604166687,61.19002151,1.380085132

