TacXPD-y16+5e,,

Time (min),Intensity (a.u.),

0.004166667,59.40240479,1

0.0125,62.69294739,1.055394097

0.020833334,60.56282806,1.019534954

0.029166667,61.295578,1.031870313

0.037500001,60.98667145,1.026670076

0.045833334,60.09339905,1.011632429

0.054166667,55.66934586,0.937156434

0.0625,59.83320236,1.007252191

0.070833333,61.19397736,1.030159933

0.079166666,60.9944191,1.026800503

0.087499999,61.60379028,1.037058861

0.095833331,59.60924149,1.003481958

0.104166664,59.98698425,1.009841007

0.112499997,60.02097702,1.010413252

0.12083333,58.49609756,0.98474292

0.129166663,60.87170792,1.024734742

0.137500003,65.43743896,1.101595789

0.145833328,59.38332748,0.999678846

0.154166669,61.55343628,1.036211185

0.162499994,58.62134171,0.986851322

0.170833334,60.77386475,1.023087617

0.17916666,63.28755569,1.065403933

0.1875,58.88211823,0.991241322

0.19583334,62.16970062,1.046585586

0.204166666,59.9707489,1.009567695

0.212500006,61.71889114,1.038996508

0.220833331,59.94225693,1.009088052

0.229166672,58.32844162,0.981920544

0.237499997,61.86964035,1.041534271

0.245833337,62.93929291,1.059541161

0.254166663,57.71472931,0.971589105

0.262499988,62.19228745,1.04696582

0.270833343,65.03820038,1.094874873

0.279166669,59.82104874,1.007047593

0.287499994,59.15089798,0.99576605

0.295833319,59.44064713,1.000643784

0.304166675,65.89794922,1.109348173

0.3125,58.06518555,0.977488803

0.320833325,63.97102737,1.076909724

0.329166681,62.17863083,1.04673592

0.337500006,63.32835388,1.066090743

0.345833331,60.84563065,1.024295748

0.354166657,61.56020355,1.036325108

0.362500012,64.80623627,1.090969911

0.370833337,63.71225357,1.072553439

0.379166663,66.43011475,1.118306826

0.387499988,66.12890625,1.113236181

0.395833343,63.98014069,1.077063141

0.404166669,66.64538574,1.12193077

0.412499994,64.42959595,1.084629422

0.420833319,66.41249084,1.118010139

0.429166675,68.89492035,1.15980019

0.4375,65.59880829,1.104312334

0.445833325,69.10774994,1.163383034

0.454166681,67.7776947,1.140992439

0.462500006,68.83287811,1.15875575

0.470833331,71.01946259,1.195565446

0.479166657,67.75434875,1.140599425

0.487500012,70.39525604,1.185057344

0.495833337,73.40743256,1.235765333

0.504166663,68.71320343,1.156741106

0.512499988,69.86549377,1.176139148

0.520833314,68.24514008,1.148861571

0.529166639,74.1984787,1.249082069

0.537500024,75.0091095,1.2627285

0.545833349,73.16551208,1.231692763

0.554166675,73.92514038,1.2444806

0.5625,74.70152283,1.257550483

0.570833325,73.76004028,1.24170125

0.579166651,75.88227081,1.27742759

0.587499976,81.26145172,1.367982525

0.595833361,80.3462677,1.352576011

0.604166687,74.63607788,1.256448761

0.612500012,79.12410736,1.332001754

0.620833337,84.2919693,1.418999274

0.629166663,83.4569397,1.404942106

0.637499988,85.80066681,1.444397194

0.645833314,84.41712952,1.421106264

0.654166639,84.07579803,1.415360175

0.662500024,89.88624573,1.5131752

0.670833349,89.60691071,1.50847278

0.679166675,87.70993805,1.476538506

0.6875,87.65772247,1.475659492

0.695833325,84.15777588,1.416740217

0.704166651,89.88791656,1.513203327

0.712499976,88.59134674,1.491376436

0.720833361,94.40111542,1.58918003

0.729166687,92.81920624,1.56254964

0.737500012,97.22633362,1.6367407

0.745833337,95.00959778,1.599423426

0.754166663,96.6292572,1.626689316

0.762499988,96.9577179,1.632218733

0.770833314,97.79217529,1.646266269

0.779166639,97.02271271,1.633312878

0.787500024,97.79615021,1.646333184

0.795833349,100.9275818,1.699048753

0.804166675,97.55041504,1.642196396

0.8125,100.1127319,1.685331297

0.820833325,100.3011932,1.688503918

0.829166651,101.4147263,1.707249507

0.837499976,104.3896637,1.757330601

0.845833361,107.8759842,1.816020489

0.854166687,107.5199203,1.81002639

0.862500012,100.9113541,1.698775571

0.870833337,106.517662,1.793154038

0.879166663,108.1161118,1.820062878

0.887499988,105.925827,1.783190889

0.895833314,110.2600479,1.856154617

0.904166639,117.3031158,1.974719983

0.912500024,116.6951904,1.964485963

0.920833349,112.7725143,1.898450319

0.929166675,114.7032242,1.930952536

0.9375,115.610054,1.946218413

0.945833325,115.8711472,1.950613744

0.954166651,120.6495285,2.031054617

0.962499976,112.9176865,1.900894196

0.970833361,116.8587799,1.967239884

0.979166687,118.9128494,2.001818779

0.987500012,121.0279388,2.037424903

0.995833337,121.1122055,2.038843477

1.004166722,120.4344864,2.027434526

1.012500048,117.1529312,1.972191725

1.020833373,121.2483749,2.041135798

1.029166698,123.4425583,2.078073417

1.037500024,120.3637924,2.02624444

1.045833349,127.848732,2.152248422

1.054166675,131.6927643,2.216960151

1.0625,125.2264252,2.108103631

1.070833325,129.9170532,2.187067235

1.079166651,130.405014,2.195281731

1.087499976,131.8805542,2.220121469

1.095833302,133.607254,2.249189313

1.104166627,126.7069016,2.133026467

1.112499952,135.8510742,2.286962534

1.120833278,133.8269806,2.252888264

1.129166722,126.8394775,2.135258294

1.137500048,133.6293182,2.249560749

1.145833373,139.9796753,2.35646479

1.154166698,134.174118,2.258732091

1.162500024,133.6720581,2.250280247

1.170833349,134.7277679,2.268052419

1.179166675,138.6570587,2.334199418

1.1875,144.1597443,2.426833473

1.195833325,141.7480316,2.386233892

1.204166651,143.8325806,2.421325889

1.212499976,145.8540192,2.455355464

1.220833302,141.5881653,2.38354265

1.229166627,142.5421906,2.399603031

1.237499952,137.2527313,2.3105585

1.245833278,140.5533142,2.366121619

1.254166722,155.0889282,2.610819019

1.262500048,143.5047302,2.415806746

1.270833373,145.3016815,2.446057226

1.279166698,144.0281372,2.424617955

1.287500024,142.062088,2.391520823

1.295833349,144.5606079,2.433581745

1.304166675,142.386734,2.396986023

1.3125,146.5565338,2.467181831

1.320833325,151.3892212,2.548536911

1.329166651,152.0045929,2.558896284

1.337499976,151.2383575,2.545997221

1.345833302,151.7305298,2.554282614

1.354166627,146.9171448,2.473252477

1.362499952,158.6654205,2.67102689

1.370833278,156.0004883,2.626164527

1.379166722,153.6968079,2.587383599

1.387500048,154.2975159,2.597496119

1.395833373,159.664566,2.68784684

1.404166698,157.6938171,2.654670592

1.412500024,156.1470032,2.628631008

1.420833349,158.8213654,2.673652118

1.429166675,162.1277466,2.729312848

1.4375,167.0535431,2.812235358

1.445833325,156.9036407,2.641368498

1.454166651,158.8143616,2.673534214

1.462499976,160.9946747,2.710238336

1.470833302,159.9106445,2.691989408

1.479166627,171.1724701,2.881574756

1.487499952,167.0521698,2.812212239

1.495833278,165.4489441,2.785223

1.504166722,165.9852142,2.794250751

1.512500048,168.9030762,2.843371018

1.520833373,169.0870514,2.846468119

1.529166698,174.2928162,2.934103709

1.537500024,159.8787231,2.691452032

1.545833349,166.240097,2.798541534

1.554166675,171.5258484,2.887523645

1.5625,166.007843,2.794631692

1.570833325,165.1016846,2.779377118

1.579166651,174.5627441,2.938647765

1.587499976,166.3489838,2.80037457

1.595833302,167.4047089,2.818147001

1.604166627,170.8130646,2.875524403

1.612499952,175.5609283,2.955451533

1.620833278,176.6954803,2.974550962

1.629166722,170.1248474,2.863938724

1.637500048,173.1215057,2.914385475

1.645833373,175.5193176,2.954751045

1.654166698,174.0503235,2.930021505

1.662500024,175.5189667,2.954745137

1.670833349,175.9119873,2.961361378

1.679166675,177.8729706,2.994373228

1.6875,178.4265137,3.003691758

1.695833325,179.0379028,3.013984088

1.704166651,185.2540436,3.118628686

1.712499976,176.9603271,2.979009482

1.720833302,178.1096802,2.998358077

1.729166627,175.6036072,2.956170004

1.737499952,178.6308441,3.007131525

1.745833278,177.7367096,2.992079365

1.754166722,180.7888489,3.043460101

