duplex 2-4 TacXPD,,
Time (min),Intensity (a.u.),
0.0008333333535,58.60754013,
0.002500000177,51.73305893,
0.004166666884,62.11751175,
0.005833333358,57.8194046,
0.007500000298,52.88895035,
0.009166667238,53.34400558,
0.01083333418,55.78197479,
0.01250000019,58.58980179,
0.01416666713,61.20019913,
0.01583333313,58.95949936,
0.01750000194,58.26766205,
0.01916666701,55.66600418,
0.02083333395,48.09562302,
0.02250000089,57.92201996,
0.02416666783,54.99256516,
0.02583333477,51.18154144,
0.02749999985,56.58454514,
0.02916666679,48.87110901,
0.03083333373,53.13642502,
0.03250000253,57.72562027,
0.03416666761,61.9741478,
0.03583333641,57.31232071,
0.03750000149,51.87371826,
0.03916667029,52.97171402,
0.04083333537,50.41607285,
0.04250000045,61.56507874,
0.04416666925,56.13475418,
0.04583333433,62.94477844,
0.04750000313,53.19259262,
0.04916666821,46.94835663,
0.05083333328,56.35406494,
0.05250000209,58.17417145,
0.05416666716,47.92777634,
0.05583333597,55.13448715,
0.05750000104,50.69495392,
0.05916666612,58.86014557,
0.06083333492,50.66866684,
0.0625,47.73922348,
0.06416667253,59.14601898,
0.0658333376,69.30347443,
0.06750000268,57.10918045,
0.06916666776,64.25465393,
0.07083333284,53.86314774,
0.07249999791,60.78728104,
0.07416667044,58.56606674,
0.07583333552,56.55878448,
0.0775000006,56.23840332,
0.07916666567,52.50296783,
0.08083333075,61.21251678,
0.08250000328,54.1428299,
0.08416666836,52.94073868,
0.08583333343,56.04861069,
0.08749999851,50.51440048,
0.08916666359,60.41583252,
0.09083333611,55.8661232,
0.09250000119,51.13059998,
0.09416666627,52.67715073,
0.09583333135,53.8515625,
0.09749999642,54.2986412,
0.09916666895,55.86491013,
0.100833334,49.2490387,
0.1024999991,52.66128159,
0.1041666642,57.7091713,
0.1058333293,50.96236038,
0.1075000018,55.71488571,
0.1091666669,53.5952301,
0.1108333319,58.01418304,
0.112499997,58.16223145,
0.1141666621,57.7132225,
0.1158333346,55.57160568,
0.1174999997,55.42708969,
0.1191666648,53.56176758,
0.1208333299,59.82664108,
0.1224999949,55.25979233,
0.1241666749,54.22100067,
0.1258333325,51.29922867,
0.1274999976,53.11407471,
0.1291666627,60.2143631,
0.1308333278,60.55290604,
0.1325000077,53.08859634,
0.1341666728,53.33892059,
0.1358333379,56.21934891,
0.137500003,56.14524078,
0.1391666681,60.82965469,
0.1408333331,50.5005722,
0.1424999982,61.42184067,
0.1441666782,54.98771286,
0.1458333284,60.92922211,
0.1475000083,55.06552124,
0.1491666585,55.22875977,
0.1508333385,55.0274086,
0.1525000036,59.70679092,
0.1541666687,55.7412796,
0.1558333337,60.30870438,
0.1574999988,49.03645706,
0.1591666639,56.56034088,
0.1608333439,59.77558136,
0.162499994,61.0609169,
0.164166674,52.44472504,
0.1658333242,53.68540192,
0.1675000042,58.1206665,
0.1691666692,58.4129715,
0.1708333343,60.92955399,
0.1724999994,52.73811722,
0.1741666645,58.93542862,
0.1758333296,52.66322708,
0.1775000095,57.54747772,
0.1791666597,63.43144226,
0.1808333397,55.22653961,
0.1824999899,54.64345169,
0.1841666698,52.30163193,
0.1858333498,61.2155838,
0.1875,57.24393845,
0.18916668,60.18570328,
0.1908333302,56.76617813,
0.1925000101,57.15406418,
0.1941666752,54.50463486,
0.1958333403,52.44621277,
0.1975000054,60.52846909,
0.1991666704,57.23227692,
0.2008333355,55.9493103,
0.2025000155,54.86248779,
0.2041666657,54.61693954,
