duplex 2-4 TacXPD,,
Time (min),Intensity (a.u.),
0.0008333333535,33.70328903,
0.002500000177,37.19623184,
0.004166666884,38.4538765,
0.005833333358,33.66445923,
0.007500000298,35.5279007,
0.009166667238,32.16394043,
0.01083333418,35.36913681,
0.01250000019,31.08103561,
0.01416666713,31.56586647,
0.01583333313,37.53875351,
0.01750000194,35.95016098,
0.01916666701,33.65483856,
0.02083333395,34.7057991,
0.02250000089,34.67523575,
0.02416666783,32.44216537,
0.02583333477,38.82709885,
0.02749999985,38.36971664,
0.02916666679,34.22142792,
0.03083333373,37.66629791,
0.03250000253,31.80212212,
0.03416666761,31.26780319,
0.03583333641,35.57995224,
0.03750000149,32.64991379,
0.03916667029,35.20976639,
0.04083333537,32.80383301,
0.04250000045,41.11836624,
0.04416666925,35.91688538,
0.04583333433,34.38761902,
0.04750000313,33.83659744,
0.04916666821,32.3510704,
0.05083333328,33.26139832,
0.05250000209,33.99960327,
0.05416666716,35.03314209,
0.05583333597,34.40158844,
0.05750000104,39.33546066,
0.05916666612,38.95368195,
0.06083333492,31.47112274,
0.0625,32.11654282,
0.06416667253,34.51766586,
0.0658333376,31.06981659,
0.06750000268,34.59543228,
0.06916666776,35.9013443,
0.07083333284,36.74208832,
0.07249999791,33.37531662,
0.07416667044,29.20006752,
0.07583333552,30.89480209,
0.0775000006,40.16037369,
0.07916666567,32.88700867,
0.08083333075,36.72496414,
0.08250000328,36.20922089,
0.08416666836,32.38452911,
0.08583333343,32.31939316,
0.08749999851,36.71346283,
0.08916666359,31.43068314,
0.09083333611,33.35546112,
0.09250000119,29.23996162,
0.09416666627,30.93684769,
0.09583333135,36.60809326,
0.09749999642,33.25815582,
0.09916666895,36.53307343,
0.100833334,31.78647995,
0.1024999991,35.98632431,
0.1041666642,32.41623688,
0.1058333293,37.76767731,
0.1075000018,40.39602661,
0.1091666669,38.38824844,
0.1108333319,33.67929077,
0.112499997,32.38671494,
0.1141666621,38.88230896,
0.1158333346,35.40423965,
0.1174999997,34.15675354,
0.1191666648,35.82961273,
0.1208333299,40.43260193,
0.1224999949,29.20138931,
0.1241666749,32.7805748,
0.1258333325,38.29232788,
0.1274999976,37.59756851,
0.1291666627,32.33958435,
0.1308333278,37.4069252,
0.1325000077,35.46172333,
0.1341666728,30.15110779,
0.1358333379,36.21556091,
0.137500003,36.10367966,
0.1391666681,37.37626266,
0.1408333331,30.59513855,
0.1424999982,29.49153709,
0.1441666782,34.99466324,
0.1458333284,33.61225891,
0.1475000083,35.41875839,
0.1491666585,34.71136093,
0.1508333385,32.61496735,
0.1525000036,33.05360794,
0.1541666687,34.78445053,
0.1558333337,37.08795929,
0.1574999988,34.58063507,
0.1591666639,37.83255005,
0.1608333439,34.86556244,
0.162499994,33.26709747,
0.164166674,36.5887413,
0.1658333242,33.45125961,
0.1675000042,39.06995773,
0.1691666692,45.47761917,
0.1708333343,34.40932846,
0.1724999994,37.3375473,
0.1741666645,37.70401382,
0.1758333296,34.36784744,
0.1775000095,34.92640686,
0.1791666597,35.8783493,
0.1808333397,34.29927444,
0.1824999899,35.32911682,
0.1841666698,34.90766525,
0.1858333498,35.81039047,
0.1875,39.7176857,
0.18916668,37.56373215,
0.1908333302,42.79702759,
0.1925000101,35.73498917,
0.1941666752,33.09635544,
0.1958333403,28.71738243,
0.1975000054,35.51433182,
0.1991666704,34.88411713,
0.2008333355,33.78401184,
0.2025000155,34.31521225,
0.2041666657,38.14199448,
0.2058333457,31.26470757,
0.2074999958,36.83108521,
0.2091666758,37.91645432,
0.2108333409,33.00284576,
0.212500006,35.76136398,
0.214166671,36.62431335,
0.2158333361,34.8587532,
0.2175000012,32.03684998,
0.2191666812,40.68625641,
0.2208333313,34.62921906,
0.2225000113,40.25987625,
0.2241666615,33.93151855,
0.2258333415,33.76685715,
0.2275000066,32.89810181,
0.2291666716,34.69729614,
0.2308333367,34.31250381,
0.2325000018,37.10079956,
0.2341666669,34.67906952,
0.2358333468,33.11991119,
0.237499997,34.96098328,
0.239166677,31.25107956,
0.2408333272,36.82989883,
0.2425000072,38.64295578,
0.2441666722,35.53055573,
0.2458333373,31.36300278,
0.2475000024,38.05084991,
0.2491666675,37.29859543,
0.2508333325,35.06181335,
0.2524999976,38.16637802,
0.2541666627,33.1791954,
0.2558333278,37.78175735,
0.2574999928,36.63755417,
0.2591666579,37.94918823,
0.2608333528,34.58010101,
0.2624999881,37.50882339,
0.264166683,33.7313652,
0.2658333182,34.71744919,
0.2675000131,34.34777832,
0.2691666484,36.7335701,
0.2708333433,32.95947266,
0.2725000083,38.19102478,
0.2741666734,35.92895126,
0.2758333385,39.63124466,
0.2775000036,33.71015549,
0.2791666687,30.40734291,
0.2808333337,31.3326416,
0.2824999988,35.6561203,
0.2841666937,34.7248764,
0.285833329,32.15369034,
0.287499994,39.19978333,
0.2891666591,38.87930298,
0.290833354,31.4007206,
0.2925000191,37.8996048,
0.2941666543,36.51592636,
0.2958333194,39.6156044,
0.2975000143,35.63375473,
0.2991666794,33.96970749,
0.3008333445,31.99036407,
0.3024999797,38.08095932,
0.3041666746,36.24039459,
0.3058333397,36.92624664,
0.3075000048,34.35816956,
0.3091666996,36.43616104,
0.3108333349,40.20761108,
0.3125,32.72992706,
0.3141666651,36.75954056,
0.31583336,34.52685547,
0.317500025,38.35469818,
0.3191666603,35.92534256,
0.3208333254,31.25741005,
0.3225000203,36.05954361,
0.3241666853,32.09672165,
0.3258333504,37.8421936,
0.3274999857,29.57820702,
0.3291666806,35.22845078,
0.3308333457,33.74903107,
0.3325000107,34.86069107,
0.3341666758,36.0408287,
0.3358333409,30.77126312,
0.337500006,36.73565674,
0.339166671,30.07644844,
0.3408333361,32.98755646,
0.342500031,35.36901474,
0.3441666663,34.94032288,
0.3458333313,34.46086121,
0.3474999964,31.21094322,
0.3491666913,34.21096039,
0.3508333564,36.26448822,
0.3524999917,34.01675797,
0.3541666567,33.40443039,
0.3558333516,35.27127838,
0.3575000167,31.6228714,
0.3591666818,36.96146011,
0.360833317,34.74141312,
0.3625000119,36.58246994,
0.364166677,36.39892578,
0.3658333421,37.04198074,
0.3675000072,33.20626068,
0.3691666722,39.38635635,
0.3708333373,38.8527565,
0.3725000024,33.62456894,
0.3741666675,38.61994171,
0.3758333623,33.84511566,
0.3774999976,37.01596451,
0.3791666627,37.20962143,
0.3808333278,36.50538635,
0.3825000226,36.51628494,
0.3841666877,33.43725204,
0.385833323,37.3997612,
0.3874999881,38.98241043,
0.389166683,31.66416359,
0.390833348,28.73503876,
0.3925000131,39.19781494,
0.3941666484,33.61259842,
0.3958333433,37.90589142,
0.3975000083,33.78941345,
0.3991666734,35.34594727,
0.4008333385,37.34918594,
0.4025000036,36.83995056,
0.4041666687,27.50558853,
0.4058333337,33.47698593,
0.4074999988,33.23937988,
0.4091666937,36.90074539,
0.410833329,32.11494446,
0.412499994,35.40764999,
0.4141666591,33.59209824,
0.415833354,38.00588989,
0.4175000191,30.41108894,
0.4191666543,34.27571487,
0.4208333194,43.73538971,
0.4225000143,33.18394852,
0.4241666794,37.49441147,
0.4258333445,40.46044922,
0.4274999797,35.76136398,
0.4291666746,36.34662628,
0.4308333397,40.23126221,
0.4325000048,32.88135529,
0.4341666996,35.08285522,
0.4358333349,31.52939606,
0.4375,37.29149628,
