Time,Intensity
,
0.000833333,21.34976959
,
0.0025,19.53178024
,
0.004166667,21.18585777
,
0.005833333,19.96419144
,
0.0075,23.05759239
,
0.009166667,22.9198513
,
0.010833334,19.2795887
,
0.0125,23.01859856
,
0.014166667,22.82341766
,
0.015833333,18.32305717
,
0.017500002,15.94099426
,
0.019166667,25.82313347
,
0.020833334,20.19113922
,
0.022500001,21.36135674
,
0.024166668,19.69948769
,
0.025833335,20.08529472
,
0.0275,22.90757942
,
0.029166667,21.16808701
,
0.030833334,21.35833359
,
0.032500003,16.65556335
,
0.034166668,23.23902893
,
0.035833336,21.63411903
,
0.037500001,22.99545097
,
0.03916667,21.21160126
,
0.040833335,21.96601105
,
0.0425,19.53636551
,
0.044166669,21.64186859
,
0.045833334,22.0409584
,
0.047500003,18.82498932
,
0.049166668,18.99059105
,
0.050833333,21.30317307
,
0.052500002,17.24076271
,
0.054166667,20.43299294
,
0.055833336,21.89621162
,
0.057500001,18.16783333
,
0.059166666,21.86679649
,
0.060833335,20.8305378
,
0.0625,20.3810215
,
0.064166673,24.09597588
,
0.065833338,22.23559761
,
0.067500003,13.41848469
,
0.069166668,18.03894806
,
0.070833333,19.52910423
,
0.072499998,22.03058434
,
0.07416667,21.74291801
,
0.075833336,20.31501961
,
0.077500001,18.00786018
,
0.079166666,21.39829826
,
0.080833331,25.6428318
,
0.082500003,25.20026016
,
0.084166668,18.55428314
,
0.085833333,20.23161125
,
0.087499999,19.00060844
,
0.089166664,21.71401215
,
0.090833336,16.94453812
,
0.092500001,19.06979752
,
0.094166666,19.66538429
,
0.095833331,23.40572166
,
0.097499996,22.9838295
,
0.099166669,19.72079086
,
0.100833334,21.53265762
,
0.102499999,19.08987045
,
0.104166664,19.25362396
,
0.105833329,17.69163132
,
0.107500002,20.2814846
,
0.109166667,21.48198509
,
0.110833332,23.02742958
,
0.112499997,19.34549332
,
0.114166662,22.87355423
,
0.115833335,21.12556458
,
0.1175,17.93255997
,
0.119166665,21.03296852
,
0.12083333,21.82819557
,
0.122499995,18.11825752
,
0.124166675,19.65146446
,
0.125833333,20.91719246
,
0.127499998,22.21845245
,
0.129166663,17.75688362
,
0.130833328,23.01495934
,
0.132500008,22.52342796
,
0.134166673,18.85049629
,
0.135833338,20.61437607
,
0.137500003,22.87980461
,
0.139166668,21.92697906
,
