Time,Intensity
,
0.000833333,53.40779877
,
0.0025,56.86541748
,
0.004166667,52.07431793
,
0.005833333,49.5915184
,
0.0075,54.09346771
,
0.009166667,55.08150864
,
0.010833334,53.71942139
,
0.0125,53.34524155
,
0.014166667,49.01157379
,
0.015833333,55.25489426
,
0.017500002,53.13801956
,
0.019166667,56.05531693
,
0.020833334,53.15073776
,
0.022500001,56.12175369
,
0.024166668,57.50169754
,
0.025833335,51.17419052
,
0.0275,51.35860443
,
0.029166667,53.77771759
,
0.030833334,52.59627151
,
0.032500003,57.88571167
,
0.034166668,49.06457138
,
0.035833336,53.18745041
,
0.037500001,55.84798431
,
0.03916667,54.59015274
,
0.040833335,54.49031448
,
0.0425,59.45432281
,
0.044166669,47.4474678
,
0.045833334,57.4049263
,
0.047500003,54.05949783
,
0.049166668,50.84347153
,
0.050833333,52.28309631
,
0.052500002,57.75218582
,
0.054166667,56.75219345
,
0.055833336,53.33108521
,
0.057500001,48.61878586
,
0.059166666,46.94323349
,
0.060833335,52.66497421
,
0.0625,57.06878281
,
0.064166673,56.71632004
,
0.065833338,48.37344742
,
0.067500003,56.12122726
,
0.069166668,53.25936127
,
0.070833333,57.47517014
,
0.072499998,53.40435791
,
0.07416667,51.57403183
,
0.075833336,53.62589645
,
0.077500001,55.05757523
,
0.079166666,50.96533203
,
0.080833331,53.34324646
,
0.082500003,57.23215485
,
0.084166668,51.33060837
,
0.085833333,48.2188797
,
0.087499999,54.29130936
,
0.089166664,51.71537781
,
0.090833336,52.11551666
,
0.092500001,48.27470016
,
0.094166666,53.13524628
,
0.095833331,53.6874733
,
0.097499996,55.25642776
,
0.099166669,50.70679092
,
0.100833334,48.16383743
,
0.102499999,46.64683914
,
0.104166664,58.71062851
,
0.105833329,51.07317734
,
0.107500002,51.73655319
,
0.109166667,58.73297501
,
0.110833332,56.76276398
,
0.112499997,50.74129486
,
0.114166662,54.64915848
,
0.115833335,52.99485397
,
0.1175,48.44198227
,
0.119166665,50.13453293
,
0.12083333,55.21824265
,
0.122499995,57.35461044
,
0.124166675,51.70072556
,
0.125833333,55.15045547
,
0.127499998,51.60017395
,
0.129166663,50.23121643
,
0.130833328,55.69586182
,
0.132500008,53.06541061
,
0.134166673,57.80040741
,
0.135833338,56.52888107
,
0.137500003,57.65114975
,
0.139166668,47.75905228
,
0.140833333,62.04813004
,
0.142499998,56.616436
,
0.144166678,51.18149567
,
0.145833328,54.74585724
,
0.147500008,55.10680771
,
0.149166659,54.80589676
,
0.150833339,49.26563644
,
0.152500004,53.82714462
,
0.154166669,53.89181137
,
0.155833334,52.93681335
,
0.157499999,55.14582443
,
0.159166664,54.19609833
,
0.160833344,53.98123932
,
0.162499994,55.54253006
,
0.164166674,54.034729
,
0.165833324,58.06451797
,
0.167500004,57.11591721
,
0.169166669,50.07014465
,
0.170833334,50.20505142
,
0.172499999,53.41296387
,
0.174166665,55.76257706
,
0.17583333,56.28455353
,
0.17750001,49.69829559
,
0.17916666,55.23694611
,
0.18083334,56.04808807
,
0.18249999,50.47794724
,
0.18416667,51.37852859
,
0.18583335,56.80516052
,
0.1875,48.10802078
,
0.18916668,53.07318115
,
0.19083333,52.64740372
,
0.19250001,53.21174622
,
0.194166675,56.79989243
,
0.19583334,50.9239006
,
0.197500005,55.41720581
,
0.19916667,46.69573975
,
0.200833336,50.78466797
,
0.202500016,51.67748642
,
0.204166666,56.91792297
,
0.205833346,58.46679688
,
0.207499996,56.59692383
,
0.209166676,54.71276474
,
0.210833341,49.70198441
,
0.212500006,50.43727875
,
0.214166671,52.84592819
,
0.215833336,55.84454727
,
0.217500001,57.11214066
,
0.219166681,57.47890091
,
0.220833331,60.20924759
,
0.222500011,52.66166687
,
0.224166662,56.03257751
,
0.225833342,53.21113586
,
0.227500007,47.72327805
,
0.229166672,51.41218567
,
0.230833337,52.19563293
,
0.232500002,54.79588318
,
0.234166667,48.1317482
,
0.235833347,45.09222412
,
0.237499997,55.60399628
,
0.239166677,53.96720505
,
0.240833327,53.39614105
,
0.242500007,51.10506439
,
0.244166672,53.86882401
,
0.245833337,54.09104538
,
0.247500002,54.03626633
,
0.249166668,56.1757164
,
0.250833333,57.15134811
,
0.252499998,58.46847534
,
0.254166663,53.41688919
,
0.255833328,52.30881119
,
0.257499993,50.52264786
,
0.259166658,55.86998749
,
0.260833353,53.79305649
,
0.262499988,52.27473831
,
0.264166683,52.4604454
,
0.265833318,55.25413513
,
0.267500013,52.60177231
,
0.269166648,49.14437485
,
0.270833343,57.7477417
,
0.272500008,61.04727936
,
0.274166673,51.34482193
,
0.275833339,47.33845139
,
0.277500004,47.8588562
,
0.279166669,52.36292267
,
0.280833334,47.77091217
,
0.282499999,56.36168289
,
0.284166694,54.30724335
,
0.285833329,53.48643494
,
0.287499994,56.0909729
,
0.289166659,51.64179993
,
0.290833354,56.88489151
,
0.292500019,51.77864456
,
0.294166654,52.98428726
,
0.295833319,55.53875351
,
0.297500014,54.95057678
,
0.299166679,51.30358887
,
0.300833345,58.42072296
,
0.30249998,50.78305817
,
0.304166675,58.91346741
,
0.30583334,53.14331436
,
0.307500005,56.35547638
,
0.3091667,54.60091782
,
0.310833335,55.85169601
,
0.3125,50.63459778
,
0.314166665,51.8326149
,
0.31583336,51.49069214
,
0.317500025,53.8220253
,
0.31916666,54.18356323
,
0.320833325,53.36221313
,
0.32250002,51.25574875
,
0.324166685,51.40738297
,
0.32583335,52.8377037
,
0.327499986,50.54248047
,
0.329166681,54.13402176
,
0.330833346,60.23736954
,
